year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
2004,4523,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638,5,ArcGIS and cShapes,Point along a line,,80889,,,,,
2004,4524,Iran-Iraq Border (Airspace),Midpoint of shared (national) border,45.6418,33.7638,5,ArcGIS and cShapes,Point along a line,,80889,,,,,
2004,4525,Iran (Kurdistan [> ADM1])-Turkey Border (Airspace),Midpoint of shared (subnational) border,44.3329,38.5771,5,ArcGIS and GADM,Point along a line,,73686,,,,,
2004,4526,Egypt-Israel Border,Midpoint of shared (national) border,34.4711,30.7262,5,ArcGIS and cShapes,Point along a line,,85266,,,,,
2004,4549,Hans Island (Arctic Ocean),Hans Island,-66.4596,80.8269,2,latlong.net,Island,,13453,,,,,
2004,4559,Malaysia-Thailand Border,Midpoint of shared (national) border,101.096,5.9239,5,ArcGIS and cShapes,Point along a line,,121160,,,,,
2004,4560,Indonesia-Thailand Border (Territorial Waters),Midpoint of shortest distance between territorial waters,98.5017,5.73217,5,ArcGIS and Marine Regions,Point along a line,,121155,,,,,
2004,4561,India Territorial Waters,Point along territorial waters boundary nearest centroid of noncontiguous territorial waters,74.4493,13.342,5,ArcGIS and Marine Regions,Point along a line,"India has two noncontiguous territorial waters: one surrounds the Indian mainland, the other surrounds the Lakshadweep atoll; The included coordinates correspond to the point along India's territorial waters that are nearest to the centroid of these two noncontiguous territorial waters",110386,,,,,
2004,4562,Myanmar Territorial Waters,Point along territorial waters boundary nearest centroid of noncontiguous territorial waters,95.2273,15.1151,5,ArcGIS and Marine Regions,Point along a line,Myanmar has three noncontiguous territorial waters; The included coordinates correspond to the point along Myanmar's territorial waters that are nearest to the centroid of these three noncontiguous territorial waters,107468,,,,,
2004,4563,India-Nepal Border,Midpoint of shared (national) border,83.9121,27.4494,5,ArcGIS and cShapes,Point along a line,,90165,,,,,
2004,4564,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433,5,ArcGIS and cShapes,Point along a line,,106035,,,,,
2004,4565,India-Myanmar Border,Midpoint of shared (national) border,94.5781,25.2131,5,ArcGIS and cShapes,Point along a line,,93067,,,,,
2005,4373,Kenya-Somalia Border,Midpoint of shared (national) border,40.9886,1.22132,5,ArcGIS and cShapes,Point along a line,,127759,,,,,
2005,4374,"Moyale, Kenya","Moyale, Kenya",39.0546,3.52109,1,latlong.net,Precise location text,,124156,,,,,
2005,4375,Eritrea-Ethiopia Border,Midpoint of shared (national) border,39.315,14.4783,5,ArcGIS and cShapes,Point along a line,,109036,,,,,
2005,4376,Ethiopia-Somalia (Mudug [ADM1]) Border,Midpoint of shared (subnational) border,47.0957,7.10921,5,ArcGIS and GADM,Point along a line,"Incident involves dual events in Gaalkacyo, Somalia and Goldogob, Somalia",119052,,,,,
2005,4377,"Luiza, DRC","Luiza, DRC",22.3993,-7.19913,1,latlong.net,Precise location text,,140042,,,,,
2005,4378,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793,5,ArcGIS and cShapes,Point along a line,,117038,,,,,
2005,4379,Eritrea Territorial Waters,Centroid of territorial waters,40.5091,15.5436,3,ArcGIS and Marine Regions,Territorial waters,,106879,,,,,
2005,4380,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,ArcGIS and Marine Regions,Point along a line,,122734,,,,,
2005,4381,DRC (Kivu [> ADM1]),Centroid of > ADM1,27.4229,-2.52693,5,ArcGIS and GADM,> ADM1,,133492,,,,,
2005,4382,Ivory Coast,Centroid of ADM0,-5.55562,7.63153,6,ArcGIS and cShapes,State,,118466,,,,,
2005,4383,Eritrea-Ethiopia Demilitarized Zone,Centroid of DMZ,39.5325,14.2285,3,ArcGIS and cShapes,ADM2 like,,109037,,,,,
2005,4384,Chad-Sudan Border (Airspace),Midpoint of shared (national) border,22.4098,14.5099,5,ArcGIS and cShapes,Point along a line,,108362,,,,,
2005,4424,Georgia-Russia Border,Midpoint of shared (national) border,43.549,42.8639,5,ArcGIS and cShapes,Point along a line,,67925,,,,,
2005,4425,"Feodosiya, Ukraine","Feodosiya, Ukraine",35.3824,45.0319,2,latlong.net,Near,,64388,,,,,
2005,4426,Kyrgystan-Tajikistan Border,Midpoint of shared (national) border,70.3941,39.5895,5,ArcGIS and cShapes,Point along a line,,72218,,,,,
2005,4427,Tajikistan-Uzbekistan Border,Midpoint of shared (national) border,68.8798,39.9247,5,ArcGIS and cShapes,Point along a line,,72215,,,,,
2005,4428,"Qorasuv, Uzbekistan","Qorasuv, Uzbekistan",72.8811,40.7262,1,latlong.net,Precise location text,,70783,,,,,
2005,4429,Norway-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,31.1108,69.9816,5,ArcGIS and Marine Regions,Point along a line,,29088,,,,,
2005,4430,Kyrgystan (Palman region)-Uzbekistan Border,Midpoint of shared (national) border,71.9143,41.1896,5,ArcGIS and cShapes,Point along a line,Could not locate Palman region,70061,,,,,
