year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1816,3239,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407,4,ArcGIS and GADM,ADM1,,88393,Spanish Florida,center pt of FL,28.0342,-81.5375,3
1817,3321,Bulgaria-Romania Border,Midpoint of shared (national) border,25.4793,43.6402,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,66528,Danube River,"Bucharest, Romania",44.4333,26.1,4
1818,1567,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407,4,ArcGIS and GADM,ADM1,,88393,Florida,center pt of FL,28.0342,-81.5375,3
1821,142,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1821,147,"Rieti, Italy","Rieti, Italy",12.8567,42.4045,1,latlong.net,Precise location text,,68743,"Rieti, Italy (Papal States)",Rieti,42.4,12.85,1
1821,167,Italy (Piedmont [ADM1]),Centroid of ADM1,7.92682,45.061,4,ArcGIS and GADM,ADM1,,64413,Piedmont,"Cuneo, Italy",44.3833,7.53333,3
1821,366,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68079,Franco-Spanish border,"San Sebastien, Spain",43.6333,-7.8,4
1822,89,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68079,,md point FRA-SPN border,42.67,0.61,4
1825,1735,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,1,latlong.net,Precise location text,,82424,"North Africa, Tripoli","Tripoli, Libya",32.8925,13.18,1
1826,64,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1826,1622,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,Brazilian waters,"Salvador, Brazil",-12.9833,-38.5167,4
1826,1752,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,Coast of Brazil,Recife,-8.05,-34.9,4
1827,146,Ottoman Empire,Midpoint of coastline,27.06,38.39,5,MIDLOC1.1,Point along a line,,74452,,md point of ottoman coast,38.39,27.06,4
1827,189,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1828,367,Egypt,Centroid of ADM0,29.872,26.4943,6,ArcGIS and cShapes,State,Uses 1946 data,91737,"Morea, Egypt",center pt of egypt,26.1758,30.1525,5
1829,1579,"Petra, Greece","Petra, Greece",26.1753,39.3278,1,latlong.net,Precise location text,,73010,Petra Greece,Petra,38.7333,21.65,1
1830,370,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point of border between FRN & GER states,49.018,8.337,4
1831,25,Belgium-Netherlands Border,Midpoint of shared (national) border,5.7297,51.193,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,55757,,md point of NTH-BEL border,51.42,5.279,4
1831,137,"Porto, Portugal","Porto, Portugal",-8.6291,41.1579,1,latlong.net,Precise location text,,70220,"Oporto, Portugal",Porto,41.15,-8.61667,1
1831,501,"Brussels, Belgium","Brussels, Belgium",4.35172,50.8503,8,latlong.net,Capital,,56486,Belgium,Brussels,50.8333,4.33333,5
1831,3138,"Al-Qurnah, Iraq","Al-Qurnah, Iraq",47.4245,31.0175,2,latlong.net,Near,,84492,Mouth of the Tigris river,"Tigris, Israel",31,47.4167,2
1832,368,Belgium-Germany Border,Midpoint of shared (national) border,6.22042,50.6376,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,56490,,md point of BEL-GER border,50.458,6.489,4
1833,153,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,71570,,straits of dardanelles,40.2,26.6,4
1833,1753,"Cartagena, Colombia","Cartagena, Colombia",-75.4794,10.391,1,latlong.net,Precise location text,,114967,Cartagena (Colombia),Cartagena,10.4167,-75.5333,1
1834,1524,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789,3,ArcGIS and Marine Regions,Territorial waters,,113529,Off Columbia,"Barranquilla, Colombia",5.15,-73.8833,4
1835,301,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,108488,Carribean,"Kingston, Jamaica",18,-76.8,5
1836,1554,Argentina (Santa Cruz [ADM1]),Centroid of ADM1,-69.9414,-48.8127,4,ArcGIS and GADM,ADM1,,199942,"Veracruz, Brasos de Santiago",Veracruz,31.4472,-112.358,1
1836,1555,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911,4,ArcGIS and GADM,ADM1,,84839,Texas,"Austin, USA",30.2833,-97.7333,3
1836,1623,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,117198,Panama,Panama City,8.96667,-79.5333,5
1837,38,"Navy Island, Niagara","Navy Island, Niagara",-79.0108,43.0578,2,latlong.net,Island,,67519,Niagara River,navy island,43.05,-79.0167,4
1838,160,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,2,latlong.net,Near,,102045,East Coast of Mexico near Veracruz,Veracruz,31.4472,-112.358,4
1838,1553,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1838,2013,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,125075,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1839,15,Canada (New Brunswick [ADM1])-United States (Maine [ADM1]) Border,Midpoint of shared (subnational) border,-67.7833,46.4598,5,ArcGIS and GADM,Point along a line,,63142,Maine-New Brunswick Border,"Fredericton, CAN",45.95,-66.6333,3
1839,1556,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1839,1740,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,125075,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1840,1540,Douro River,Midpoint of river,-7.28269,41.1604,5,ArcGIS and Natural Earth Data,Point along a line,,70223,"Douro river, Portugal",Oporto,41.15,-8.61667,4
1842,371,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1842,2055,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1842,2116,"Monterey, USA","Monterey, USA",-121.895,36.6002,1,latlong.net,Precise location text,,76954,"Monterey, CA, USA","Monterey, ca",36.5817,-121.869,1
1843,1507,Magellan Straits,Magellan Straits,-70.8288,-53.7302,3,latlong.net,Strait,,207140,Magellan Straits,"Magellan, Chile",-54,-71,4
1843,1552,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911,4,ArcGIS and GADM,ADM1,,84839,Texas,"Austin, USA",30.2833,-97.7333,3
1845,123,Argentina,Midpoint of coastline,-63.6589,-42.2343,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,190594,,md point of ARG coast,-36.96,-56.63,4
1845,1625,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1846,373,United States (Oregon [ADM1]),Midpoint of coastline,-124.076,44.7716,5,ArcGIS and GADM,Point along a line,,65429,Pacific Ocean off Oregon,OR coastline,42.7858,-124.667,4
1846,1498,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1846,1586,"Corrientes, Argentina","Corrientes, Argentina",-58.8306,-27.4692,1,latlong.net,Precise location text,,169004,"Parana River, Corrientes","Corrientes, Argentina",-27.4667,-58.8333,4
1847,78,"Ferrara, Italy","Ferrara, Italy",11.6198,44.8381,1,latlong.net,Precise location text,,65141,"Ferrara, Papal States",Ferrara,46.7228,12.1342,1
1848,19,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83,5,MIDLOC1.1,Point along a line,,62261,,md point of venetian-auh border,46.83,11.97,4
1848,198,Italy (Sicily [ADM1]),Centroid of ADM1,14.1467,37.5884,4,ArcGIS and GADM,ADM1,,75226,,md point of island of sicily,37.58,14.32,5
1848,374,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,69462,,rome,41.96,12.66,3
1848,375,Germany-Denmark Border,Midpoint of shared (national) border,8.98718,54.8973,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,50723,,GER-DEN border,54.926,9.272,4
1849,175,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,69462,,rome,41.96,12.66,3
1849,231,"Livorno, Italy","Livorno, Italy",43.5485,10.3106,1,latlong.net,Precise location text,,114725,Livorno,"Livorno, Italy",43.55,10.3167,1
1849,236,USR-Ottoman Border,Midpoint of shared (national) border,29.65,46.87,5,MIDLOC1.1,Point along a line,,62217,,md point border between USR and Ott empire,46.87,29.65,4
1849,1493,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,114270,Venezuelan Coast,Caracas,9.08333,-69.8333,4
1849,1627,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,Brazilian coastal forts and waters,mid pt of coastline,-8.16028,-34.9839,4
1850,71,"Piraeus, Greece","Piraeus, Greece",23.647,37.943,1,latlong.net,Precise location text,,75165,"Piraeus, Greece","Piraeus, GRC",37.95,23.6333,1
1850,154,AUH-Germany Border,Midpoint of shared (national) border,49.12,49.12,5,MIDLOC1.1,Point along a line,,58576,,md point of GER AUH border,49.12,13.55,4
1850,1551,Mexico (Yucatan [ADM1]),Centroid of ADM1,-88.9256,20.7803,4,ArcGIS and GADM,ADM1,,99900,"Yucatan, Mexico",Yucatan Peninsula,19.5,-89,3
1850,1566,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1850,1587,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1850,2012,Parana River,Midpoint of river,-53.8819,-23.4585,5,ArcGIS and Natural Earth Data,Point along a line,,163174,Parana river,"Corrientes, Argentina",-27.4667,-58.8333,4
1851,1528,"Montevideo, Uruguay","Montevideo, Uruguay",-56.1645,-34.9011,8,latlong.net,Capital,,179729,Uruguay,Montevideo,-34.8581,-56.1708,5
1852,377,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,71570,"Dardanelles, Turkey",Dardanelles Strait,40.25,26.4167,4
1852,1506,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1852,1523,Colombia-Peru Border,Midpoint of shared (national) border,-72.2277,-2.49887,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,132973,,col-per border,-3.94,-69.885,4
1852,1755,"Lobos Island, Peru","Lobos Island, Peru",-80.8599,-6.43756,2,latlong.net,Island,,138796,"Lobos Island, Peru",Lobos Island,-9.26667,-78.5667,3
1853,57,Ottoman-Russia Border,Midpoint of shared (national) border,28.93,47.88,5,MIDLOC1.1,Point along a line,,60775,,md point of ottoman-russian border,47.88,28.93,4
1853,121,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,71570,Dardanelles Strait,Dardanelles Strait,40.25,26.4167,4
1853,126,AUH-Ottoman Border,Midpoint of shared (national) border,22.63,45.39,5,MIDLOC1.1,Point along a line,,64443,,md point of ottoman and AUH borders,45.39,22.63,4
1853,3326,"Milan, Italy","Milan, Italy",9.18592,45.4654,1,latlong.net,Precise location text,,64416,Milan,"Milan, Italy",45.4667,9.2,1
1854,144,"Greytown, Nicaragua","Greytown, Nicaragua",-83.7345,10.9462,1,latlong.net,Precise location text,,114310,"Greytown, Nicaragua",Greytown,10.9167,-83.7,1
1854,304,"Sambir, Ukraine","Sambir, Ukraine",23.2066,49.5207,4,latlong.net,ADM1 like,,57964,"Galicia, Transylvania","Sambir, Ukraine",49.5167,23.2,3
1854,1494,"Aves Island, Venezuela","Aves Island, Venezuela",-63.618,15.6684,2,latlong.net,Island,,107070,"Aves Island, Venezuela",Aves Island,15.7,-63.6333,3
1854,1565,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1854,2367,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,Uses 1960 data,78784,,cyprus,35.06,33.41,5
1855,1550,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701,5,ArcGIS and GADM,Point along a line,,86995,Texas-Mexico border,"Ciudad Acuna, Mexico",29.3,-100.917,4
1855,1564,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1855,1588,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,"Salinas, Rio Paraguay","Asuncion, Paraguay",-25.2667,-57.6667,4
1856,8,"Tehran, Iran","Tehran, Iran",51.389,35.6892,8,latlong.net,Capital,,78020,Iran,"Tehran, IRN",35.6719,51.4244,5
1856,149,"Neuchatel, Switzerland","Neuchatel, Switzerland",6.92927,46.99,1,latlong.net,Precise location text,,62251,"Neuchatel, SWZ",Neuchatel,47,6.96667,1
1856,380,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1856,1495,"Aves Island, Venezuela","Aves Island, Venezuela",-63.618,15.6684,2,latlong.net,Island,,107070,"Aves Island, Venezuela",Aves Island,15.7,-63.6333,3
1856,1522,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,117198,Panama,Panama City,8.96667,-79.5333,5
1856,1757,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789,3,ArcGIS and Marine Regions,Territorial waters,,113529,Colombian coast,"Barranquilla, Colombia",5.15,-73.8833,4
1856,2236,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1857,1500,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,158904,,chile-bol border,-26.78,-69.44,4
1857,1521,Aguarico River,Aguarico River,-76.3582,-0.393123,5,latlong.net,Point along a line,,130085,"Near Aguarico, Colombia","border w Aguarico, ECU",0.25,-76.2697,2
1857,1743,Mozambique Channel,Mozambique Channel,41.2809,-18.6159,3,latlong.net,Channel,,156564,Mozambique channel,Mozambique Channel,-20,43,4
1858,207,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1858,1593,Gulf of Guayaquil,Gulf of Guayaquil,-80.5,-3,4,latlong.net,Gulf,,134477,Gulf of Guayaquil,"Port of Guayaquil, Ecuador",-2.28333,-79.9,2
1858,1628,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,114270,,venezuela cost,10.23,-64.71,4
1858,2322,Chincha Islands,Chincha Islands,-76.3912,-13.6303,2,latlong.net,Island,,149525,Chincha Islands,"Chincha, Peru",-13.6333,-76.4167,3
1859,115,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83,5,MIDLOC1.1,Point along a line,,62261,,md point of venetian-auh border,46.83,11.97,4
1859,1548,Rio Grande,Midpoint of river,-47.3801,-20.0754,5,ArcGIS and Natural Earth Data,Point along a line,,158867,Rio Grande,"Rio Grande, Brazil",-20.3333,-51.2833,4
1859,1580,Morocco (Northern [> ADM 1]),Centroid of > ADM1,-5.2002,32.9735,5,ArcGIS and GADM,> ADM1,,82467,Northern Morocco,Tangier,35.7847,-5.81278,3
1859,1594,"Guayaquil, Ecuador","Guayaquil, Ecuador",-79.9224,-2.171,1,latlong.net,Precise location text,,133038,"Guayaquil, Ecuador","Guayaquil, Ecuador",-2.16667,-79.9,1
1859,1629,"Buenos Aires, Argentina","Buenos Aires, Argentina",-58.3816,-34.6037,1,latlong.net,Precise location text,,179805,"Buenos Aires, Argentina",Buenos Aires,-34.5875,-58.6725,1
1859,1630,"Patos Island, Venezuela","Patos Island, Venezuela",-61.8636,10.6401,2,latlong.net,Island,,114274,Patos Island,"Patos, Brazil",-20.0667,-58.0333,3
1860,112,Papal States,Midpoint of Papal States,43.18,13.08,5,MIDLOC1.1,> ADM1,,110484,,md point of papal states,43.18,13.08,3
1860,113,Kingdom of Two Sicilies,Midpoint of Kingdom of Two Sicilies,40.34,15.94,5,MIDLOC1.1,> ADM1,,106878,,md point of kingdom of two sicilies,40.34,15.94,3
1860,306,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,69462,Rome in Central Italy,Rome,41.9,12.4833,1
1860,1549,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,"Vera Cruz, Mexico",Veracruz,31.4472,-112.358,1
1860,1631,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1860,2242,"Quito, Ecuador","Quito, Ecuador",-78.4678,-0.180653,8,latlong.net,Capital,,130161,Ecuador,Quito,-0.216667,-78.5,5
1861,135,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,.,"veracruz, mexico",19.333,-96.666,1
1861,225,Bahama Channel,Bahama Channel,-78.4003,22.7672,3,MIDLOC1.1 and latlong.net,Channel,,97041,Bahama Channel,"Arch. De Camaguey, Cuba",22.3,-78,4
1861,227,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,63482,,japanese waters off USR,45.02,140.02,5
1861,1501,"Cobija, Bolivia","Cobija, Bolivia",-68.7811,-11.0344,1,latlong.net,Precise location text,,145940,Coblja,"Cobija, Bolivia",-11.0333,-68.7333,1
1862,1520,"Ibarra, Ecuador","Ibarra, Ecuador",-78.1222,0.339176,1,latlong.net,Precise location text,,129441,"Ibarra, Ecuador",Ibarra,-0.3,-78.55,1
1862,1589,"Humaita, Paraguay","Humaita, Paraguay",-58.5058,-27.0669,1,latlong.net,Precise location text,,169004,"Humaita, Rio Paraguay","Humaita, Paraguay",-27.05,-58.55,1
1862,1595,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1862,1762,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",-43.1729,-22.9068,1,latlong.net,Precise location text,,162475,Rio de Janeiro,Rio de Janeiro,-22.9,-43.2333,1
1862,3245,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,"Belurjier area, Ili area","Ili, Kazakhstan",43.8733,77.1844,3
1863,13,Japan Territorial Waters,Southernmost point of territorial waters,135.592,34.0405,5,ArcGIS and Marine Regions,Point along a line,,80029,,S. japanese waters,32.13,129.78,5
1863,194,Denmark-Germany Border,Midpoint of shared (national) border,8.98718,54.8973,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,50723,,md point of border GER DEN,54.92,9.26,4
1863,1502,"Mejillones, Chile","Mejillones, Chile",-70.4455,-23.0985,1,latlong.net,Precise location text,,163221,"Mejillones, Chile",Mejillones,-23.1,-70.45,1
1863,1519,Colombia-Ecuador Border,Midpoint of shared (national) border,-77.1538,0.343266,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,129443,colombia-ecuador Border Area,mid pt of border,0.368889,-77.2206,4
1863,1590,Brazil-Paraguay Border,Midpoint of shared (national) border,-55.7422,-22.4135,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,161730,,bra-par border,-23.65,-55.17,4
1864,381,Germany (Schleswing-Holstein [ADM1]),Centroid of ADM1,9.81008,54.1829,4,ArcGIS and GADM,ADM1,,51445,Schleswing-Holstein,"Schleswing-Holstein, Germany",54,10.5,3
1864,502,Germany-Hanover Border,Midpoint of shared (national) border,52.466,10.753,5,MIDLOC1.1,Point along a line,,114022,,md point of border between GER and HAN,52.466,10.753,4
1864,1563,Peru,Centroid of ADM0,-74.3756,-9.16376,6,ArcGIS and cShapes,State,Uses 1946 data,143049,,peru,-16.7,-70.25,5
1864,2014,Chincha Islands,Chincha Islands,-76.3912,-13.6303,2,latlong.net,Island,,149525,Chincha Islands,"Chincha, Peru",-17.3397,-71.0047,3
1865,224,Japan,Centroid of Japan,139.272,36.6507,6,ArcGIS and cShapes,State,Uses 1952 data,76436,,japan,36.21,138.93,5
1865,261,AUH-Germany Border,Midpoint of shared (national) border,50.449,12.907,5,MIDLOC1.1,Point along a line,,111138,,md point of AUH border with GER states,50.449,12.907,4
1865,1482,Chile,Centroid of ADM0,-71.374,-37.8525,6,ArcGIS and cShapes,State,Uses 1946 data,184099,,chile,-38.15,-72.04,5
1865,1800,"Mexico City, Mexico","Mexico City, Mexico",-99.1332,19.4326,8,latlong.net,Capital,,102119,Mexico,Mexico City,19.4342,-99.1386,5
1866,509,"Strasbourg, France","Strasbourg, France",7.75211,48.5734,5,MIDLOC1.1 and latlong.net,Point along a line,,59373,Franco-Prussian border,"Strasbourg, France",48.5833,7.75,4
1866,1576,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,73083,Thessaly,Thessalia,39.5,22,3
1866,1600,Argentina-Bolivia Border,Midpoint of shared (national) border,-64.6961,-22.178,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,161792,Bolvian-Argentinian border,"Villazon, Bolivia",-22.1,-65.6,4
1866,1714,"Valaparaiso, Chile","Valaparaiso, Chile",-71.6127,-33.0472,1,latlong.net,Precise location text,,177618,"Valparaiso, Chile",Valparaiso,-33.0478,-71.6011,1
1866,2043,"Curupayty, Paraguay","Curupayty, Paraguay",-54.65,-25.3667,2,Geonames.org and latlong.net,Near,,166052,Curuzu on the Rio Paraguay,"Curuzu, Paraguay",-27.1333,-58.65,1
1868,1575,"Iraklion, Greece","Iraklion, Greece",25.1442,35.3387,8,latlong.net,Capital,,78768,Crete,"Iraklion, Greece",37.8,22.7167,5
1869,1497,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,114270,Venezuelan Coast,Caracas,10.5,-66.9167,4
1869,1532,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",-70.6871,19.7808,8,latlong.net,Capital,,101296,Dominican Republic,Puerta Plata,19.8,-70.6833,5
1870,88,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point FRA border with GER states,49,8.31,4
1870,220,"Tianjin, China","Tianjin, China",117.362,39.3434,1,latlong.net,Precise location text,,72872,.,"tianjin, china",39.13,117.2,1
1870,2117,"Teacapan, Mexico","Teacapan, Mexico",-105.737,22.5401,5,latlong.net,Point along a line,,97066,Tecapan River,"Tecpan, Mexico",16.25,-95.9667,4
1870,3642,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,"Ili Valley, Xinjiang, Musecer Mt. Pass","Ili, Kazakhstan",43.8733,77.1844,3
1871,2168,"Paris, France","Paris, France",2.35222,48.8566,1,latlong.net,Precise location text,,59442,"Paris, France",Paris,48.8667,2.33333,1
1871,2169,"Paris, France","Paris, France",2.35222,48.8566,1,latlong.net,Precise location text,,59442,"Paris, France",Paris,48.8667,2.33333,1
1871,2721,Sakhalin Island,Sakhalin Island,142.951,50.691,4,latlong.net,Island,,56271,Sakhalin Island,"Sakhalin, Russ. Fed.",51,143,3
1871,3247,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,Ili region,"Ili, Kazakhstan",43.8733,77.1844,3
1872,1503,"Antofagasta, Chile","Antofagasta, Chile",-70.3975,-23.6509,1,latlong.net,Precise location text,,163941,"Antofagasta, Chile",Antofagasta,-23.65,-70.4,1
1872,1527,"Asuncion, Paraguay","Asuncion, Paraguay",-57.5759,-25.2637,8,latlong.net,Capital,,166126,Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,5
1872,1632,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944,1,latlong.net,Precise location text,,102733,"Port-au-Prince, Haiti",Port-au-Prince,18.5392,-72.335,1
1873,256,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",-75.1216,20.0117,2,latlong.net,Near,,100567,,"guantanamo bay, cuba",20.08,-75.15,2
1873,1508,Argentina (Santa Cruz [ADM1]),Centroid of ADM1,-69.9414,-48.8127,4,ArcGIS and GADM,ADM1,,199942,Santa Cruz,"Santa Cruz, Argentina",-49,-70,1
1873,1547,"El Remolino, Coah., Mexico","El Remolino, Coah., Mexico",-101.082,28.7566,1,latlong.net,Precise location text,,88435,Remolina,"Remolinos, Mexico",17.65,-94.2167,1
1873,2199,Taiwan,Centroid of ADM0,120.962,23.7511,6,ArcGIS and cShapes,State,Uses 1949 data,95199,Formosa,"Formosa, Brazil",-23.7833,-45.35,1
1874,1489,Taiwan,Centroid of ADM0,120.962,23.7511,6,ArcGIS and cShapes,State,Uses 1949 data,95199,Formosa,"Formosa, Brazil",-23.7833,-45.35,1
1874,1526,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,"Paraguay, Chaco Boreal","Chaco Boreal, Paraguay",-23,-60,3
1875,1545,"Las Cuevas, Trinidad and Tobago","Las Cuevas, Trinidad and Tobago",-61.3888,10.7838,1,latlong.net,Precise location text,,114275,"Las Cuevas, Trinidad and Tobago",Las Cuevas,10.7833,-61.3833,1
1875,2044,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,"Paraguay; Matto Grosso,Brazil","Chaco Boreal, Paraguay",-23,-60,3
1875,2200,"Ryukyu Islands, Japan","Ryukyu Islands, Japan",128,26.5,4,latlong.net,Island,,90813,"Ryukyu Islands, Japan",Ryukyu Islands,26.5,128,3
1875,2320,Peru (Yunguyo [ADM2]),Centroid of ADM2,-69.0746,-16.2952,3,ArcGIS and GADM,ADM2,,153143,"Yungayo District, Peru",Yunguyo,-16.0328,-69.4333,3
1876,187,Balkan Peninsula,Balkan Peninsula,21.0937,41.8101,6,latlong.net,Peninsula,,69480,Balkans,"Sofia, Bulgaria",42.6833,23.3167,5
1876,1533,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109258,Guatemalan-Salvadoran border,"Ahuachapan, El Sal",13.9167,-89.85,4
1876,1544,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701,5,ArcGIS and GADM,Point along a line,,86995,Texas-Mexican border,"Ciudad Acuna, Mexico",29.3,-100.917,4
