igoID,StateID,JoinYear,LeaveYear
370,625,1985,2005
370,698,1994,2005
370,645,1985,2005
370,651,1985,2005
370,435,1985,2005
370,670,1985,2005
370,581,2005,2005
370,663,1994,2005
370,615,1985,2005
370,679,2005,2005
370,616,1993,2005
370,652,1985,2005
370,696,1985,2005
370,694,1985,2005
370,690,1985,2005
370,600,1994,2005
370,520,1985,2005
305,501,2002,2005
305,70,2002,2005
305,130,2002,2005
305,140,2002,2005
305,94,2002,2005
305,135,2002,2005
305,100,2002,2005
305,710,2002,2005
305,101,2002,2005
305,850,2002,2005
305,750,2002,2005
305,560,2002,2005
690,500,1977,2001
690,516,1977,2001
690,439,1992,2001
690,501,1977,2001
690,553,1977,2001
690,436,1990,2001
690,625,1977,2001
690,402,1989,2001
690,551,1977,1988
690,551,2001,2001
690,438,1989,2001
690,651,2001,2001
690,411,1990,2001
690,435,1989,2001
690,570,1989,2001
690,437,1990,2001
690,475,1977,2001
690,451,1977,2001
690,580,1977,2001
690,471,1977,1988
690,471,1990,2001
690,517,1977,2001
690,483,1990,2001
690,433,1990,2001
690,522,1977,2000
690,510,1977,2001
690,615,1977,2001
690,490,1977,2001
690,541,1992,2001
690,565,1999,2001
690,616,1977,2001
690,530,1977,2001
690,420,1977,2001
690,590,1977,2001
690,484,1990,2001
690,482,1990,2001
690,461,1990,2001
690,620,1977,2001
690,571,1989,2001
690,432,1977,1988
690,452,1977,2001
690,481,1990,2001
690,572,1989,2001
690,600,1977,2001
690,434,1990,2001
690,520,1977,2001
690,450,1989,2001
690,552,1989,2001
690,404,1989,2001
350,2,1945,1945
350,220,1945,1945
350,210,1945,1945
350,200,1945,1945
630,771,1974,2005
630,500,1979,2005
630,692,1993,2005
630,501,1970,2005
630,830,1970,2005
630,660,1999,2005
630,625,1986,2005
630,698,1976,2005
630,645,1960,1960
630,645,1965,2005
630,800,1960,1960
630,800,1965,2005
630,820,1970,2005
630,651,1960,1960
630,651,1965,2005
630,710,1983,2005
630,475,1970,2005
630,640,1975,2005
630,451,1969,2005
630,680,1976,1990
630,835,2003,2005
630,670,1975,2005
630,433,1980,2005
630,663,1968,2005
630,510,1973,2005
630,679,1990,2005
630,850,1960,1960
630,850,1965,2005
630,775,1960,1960
630,775,1965,2005
630,732,1970,2005
630,630,1970,2005
630,420,1974,2005
630,750,1960,1960
630,750,1965,2005
630,770,1960,1960
630,770,1965,2005
630,590,1972,2005
630,652,1970,2005
630,740,1960,1960
630,740,1965,2005
630,840,1969,2005
630,780,1960,1960
630,780,1965,2005
630,696,1976,2005
630,620,1976,2005
630,694,1976,2005
630,731,1974,2005
630,690,1970,2005
630,571,1974,2005
630,790,1971,2005
630,352,1980,2005
630,452,1965,2005
630,600,1960,1960
630,560,2004,2005
630,520,1976,2005
630,712,1980,2005
230,771,1994,2005
230,501,1965,2005
230,660,1965,2005
230,698,1979,2005
230,645,1965,2005
230,551,1992,2005
230,820,1965,2005
230,651,1965,2005
230,475,1999,2005
230,678,1975,1990
230,663,1965,2005
230,679,1990,2005
230,732,1965,2005
230,530,1967,2005
230,750,1965,2005
230,770,1997,2005
230,590,1974,2005
230,652,1965,2005
230,840,1968,2005
230,620,1965,2005
230,452,1965,2005
230,600,1965,2005
230,450,1971,2005
700,500,1987,2005
700,439,1987,2005
700,436,1987,2005
700,551,1987,2005
700,651,1987,2005
700,475,1987,2005
700,471,1987,2005
700,433,1987,1994
700,581,1987,2005
700,615,1987,2005
700,490,1987,2005
700,616,1987,2005
700,530,1987,2005
700,420,1987,2005
700,482,1987,1994
700,461,1987,2005
700,571,1987,1994
700,432,1987,2005
700,481,1995,2005
700,572,1987,1994
700,434,1987,2005
700,450,1987,2005
710,500,1981,1989
710,500,1991,2001
710,516,1981,1987
710,516,1991,2002
710,439,1981,1987
710,439,1990,2002
710,501,1981,1989
710,436,1984,1989
710,436,2001,2002
710,625,1981,2000
710,551,1981,1989
710,551,1991,2002
710,651,1981,1989
710,651,2001,2002
710,475,1981,2002
710,471,1981,2002
710,517,1981,1989
710,517,2001,2002
710,433,1981,1989
710,433,2001,2002
710,615,1981,2002
710,490,1981,1996
710,616,1981,1990
710,530,1981,1989
710,530,2001,2002
710,482,1981,1989
710,482,2001,2002
710,461,1981,1996
710,620,1981,2002
710,432,1981,2002
710,452,1981,2002
710,481,1981,2002
710,572,1981,1990
710,600,1981,2002
710,434,2001,2002
710,520,1981,2001
710,450,1981,2002
380,692,1974,2005
380,660,1974,2005
380,625,1974,2005
380,698,1974,2005
380,645,1974,2005
380,651,1974,1977
380,651,1994,2005
380,435,1974,2005
380,670,1974,2005
380,663,1974,2005
380,615,1974,2005
380,616,1974,2005
380,652,1974,2005
380,812,2000,2005
380,696,1974,2005
380,620,1974,2005
380,694,1974,2005
380,690,1974,2005
380,600,1974,2005
680,500,1968,1975
680,325,1968,1975
680,501,1968,1975
680,390,1973,1975
680,220,1968,1975
680,210,1968,1975
680,510,1968,1975
680,260,1968,1975
680,200,1973,1975
680,212,1968,1975
680,205,1973,1975
680,211,1968,1975
400,645,1989,1990
400,651,1989,1990
400,663,1989,1990
400,679,1990,1990
270,355,1993,2005
270,41,1970,2005
270,516,1970,2005
270,439,1970,2005
270,436,1970,2005
270,660,1973,2005
270,402,1996,2005
270,935,1981,2005
270,438,1971,2005
270,651,1983,2005
270,411,1989,2005
270,817,1970,1975
270,435,1980,2005
270,437,1970,2005
270,343,1999,2005
270,403,1995,2005
270,591,1976,2005
270,54,1979,2005
270,56,1981,2005
270,220,1970,2005
270,811,1993,2005
270,580,1989,2005
270,471,1991,2005
270,517,1970,2005
270,483,1970,2005
270,433,1970,2005
270,581,1977,2005
270,522,1977,2005
270,490,1977,2005
270,616,1970,2005
270,232,2004,2005
270,350,2004,2005
270,590,1970,2005
270,20,1970,2005
270,484,1981,2005
270,482,1973,2005
270,461,1970,2005
270,212,1970,2005
270,812,1991,2005
270,221,1993,2005
270,432,1970,2005
270,339,1999,2005
270,360,1993,2005
270,481,1970,2005
270,600,1981,2005
270,434,1970,2005
270,211,1970,2005
270,359,1996,2005
270,404,1974,2005
270,225,1996,2005
320,92,1945,1945
320,92,1950,1950
320,92,1955,1955
320,41,1945,1945
320,41,1950,1950
320,41,1955,1955
320,70,1945,1945
320,70,1950,1950
320,70,1955,1955
320,130,1945,1945
320,130,1950,1950
320,130,1955,1955
320,140,1945,1945
320,140,1950,1950
320,140,1955,1955
320,94,1945,1945
320,94,1950,1950
320,94,1955,1955
320,150,1945,1945
320,150,1950,1950
320,150,1955,1955
320,93,1945,1945
320,93,1950,1950
320,93,1955,1955
320,135,1945,1945
320,135,1950,1950
320,135,1955,1955
320,2,1945,1945
320,2,1950,1950
320,2,1955,1955
320,100,1945,1945
320,100,1950,1950
320,100,1955,1955
320,40,1945,1945
320,40,1950,1950
320,40,1955,1955
320,42,1945,1945
320,42,1950,1950
320,42,1955,1955
320,101,1945,1945
320,101,1950,1950
320,101,1955,1955
320,91,1945,1945
320,91,1950,1950
320,91,1955,1955
320,95,1945,1945
320,95,1950,1950
320,95,1955,1955
320,165,1945,1945
320,165,1950,1950
320,165,1955,1955
320,90,1945,1945
320,90,1950,1950
320,90,1955,1955
320,145,1945,1945
320,145,1950,1950
320,145,1955,1955
320,160,1945,1945
320,160,1950,1950
320,160,1955,1955
320,155,1945,1945
320,155,1950,1950
320,155,1955,1955
60,439,1971,1971
60,436,1971,1971
60,437,1971,1971
60,580,1971,1971
60,471,1971,1971
60,483,1971,1971
60,433,1971,1971
60,490,1971,1971
60,590,1971,1971
60,484,1971,1971
60,461,1971,1971
60,481,1971,1971
60,434,1971,1971
390,692,1990,2000
390,660,1990,2000
390,625,1990,2000
390,698,1990,2000
390,645,1990,2000
390,651,1990,2000
390,435,1990,2000
390,670,1990,2000
390,663,1990,2000
390,522,1990,2000
390,615,1990,2000
390,679,1990,2000
390,616,1990,2000
390,652,1990,2000
390,696,1990,2000
390,620,1990,2000
390,694,1990,2000
390,690,1990,2000
390,600,1990,2000
390,520,1990,2000
220,58,1984,2005
220,41,1993,2005
220,531,1997,2005
220,500,1975,2005
220,516,1975,2005
220,439,1975,2005
220,501,1975,2005
220,55,1975,2005
220,553,1975,2005
220,436,1975,2005
220,625,1975,2005
220,402,1978,2005
220,935,1985,2005
220,551,1978,2005
220,438,1975,2005
220,411,1975,2005
220,986,2002,2005
220,983,2002,2005
220,540,1991,2005
220,40,2002,2005
220,435,1975,2005
220,987,2002,2005
220,570,1975,2005
220,437,1975,2005
220,475,1975,2005
220,451,1975,2005
220,403,1978,2005
220,42,1993,2005
220,591,1981,2005
220,54,1980,2005
220,580,1975,2005
220,471,1975,2005
220,517,1975,2005
220,483,1975,2005
220,433,1975,2005
220,946,1999,2005
220,522,1980,2005
220,510,1975,2005
220,940,1981,2005
220,490,1975,2005
220,541,1986,2005
220,565,1993,2005
220,910,1978,2005
220,860,2005,2005
220,950,1975,2005
220,530,1975,2005
220,955,1999,2005
220,420,1975,2005
220,31,1975,2005
220,53,1975,2005
220,80,1984,2005
220,590,1975,2005
220,484,1975,2005
220,482,1975,2005
220,461,1975,2005
220,60,1986,2005
220,571,1975,2005
220,990,1976,2005
220,52,1975,2005
220,432,1975,2005
220,452,1975,2005
220,51,1975,2005
220,481,1975,2005
220,572,1975,2005
220,110,1975,2005
220,434,1975,2005
220,947,2000,2005
220,520,1975,2005
220,450,1975,2005
220,552,1984,2005
220,404,1975,2005
220,970,2002,2005
220,57,1984,2005
10,58,1986,2005
10,115,1986,2005
10,41,1991,2005
10,531,1995,2005
10,500,1986,2005
10,516,1986,2005
10,439,1986,2005
10,325,1986,2005
10,501,1986,2005
10,255,1990,2005
10,55,1986,2005
10,380,1996,2005
10,553,1986,2005
10,436,1986,2005
10,390,1986,2005
10,625,1986,2005
10,402,1986,2005
10,935,1986,2005
10,551,1986,2005
10,438,1986,2005
10,411,1986,2005
10,305,1996,2005
10,540,1989,2005
10,435,1986,2005
10,570,1986,2005
10,437,1986,2005
10,475,1986,2005
10,451,1986,2005
10,403,1986,2005
10,42,1991,2005
10,591,1986,2005
10,54,1986,2005
10,56,1986,2005
10,220,1986,2005
10,580,1986,2005
10,210,1986,2005
10,471,1986,2005
10,517,1986,2005
10,235,1989,2005
10,483,1986,2005
10,433,1986,2005
10,946,1999,2005
10,581,1986,2005
10,522,1986,2005
10,510,1986,2005
10,940,1986,2005
10,490,1986,2005
10,541,1989,2005
10,565,1992,2005
10,910,1986,2005
10,260,1990,1990
10,950,1986,2005
10,530,1986,2005
10,200,1986,2005
10,955,1999,2005
10,420,1986,2005
10,375,1996,2005
10,31,1986,2005
10,53,1986,2005
10,80,1986,2005
10,350,1986,2005
10,590,1986,2005
10,230,1989,2005
10,484,1986,2005
10,482,1986,2005
10,461,1986,2005
10,212,1986,2005
10,60,1986,2005
10,571,1986,2005
10,990,1986,2005
10,52,1986,2005
10,432,1986,2005
10,452,1986,2005
10,51,1986,2005
10,481,1986,2005
10,572,1986,2005
10,110,1986,2005
10,434,1986,2005
10,560,2000,2005
10,947,2000,2005
10,520,1986,2005
10,450,1986,2005
10,205,1986,2005
10,552,1986,2005
10,211,1986,2005
10,404,1986,2005
10,970,2002,2005
10,57,1986,2005
720,58,1994,2005
720,92,1994,2005
720,115,1994,2005
720,41,1994,2005
720,55,1994,2005
720,70,1994,2005
720,94,1994,2005
720,93,1994,2005
720,100,1994,2005
720,40,1994,2005
720,42,1994,2005
720,54,1994,2005
720,56,1994,2005
720,101,1994,2005
720,220,1999,2005
720,91,1994,2005
720,31,1994,2005
720,53,1994,2005
720,80,1994,2005
720,60,1994,2005
720,52,1994,2005
720,95,1994,2005
720,51,1994,2005
720,90,1994,2005
720,110,1994,2005
720,57,1994,2005
50,516,1997,2005
50,439,1997,2005
50,436,1997,2005
50,402,1997,2005
50,438,1997,2005
50,411,1997,2005
50,540,1997,2005
50,435,1997,2005
50,437,1997,2005
50,403,1997,2005
50,580,1997,2005
50,471,1997,2005
50,517,1997,2005
50,483,1997,2005
50,433,1997,2005
50,581,1997,2005
50,522,1997,2005
50,541,1997,2005
50,616,1997,2005
50,420,1997,2005
50,484,1997,2005
50,482,1997,2005
50,432,1997,2005
50,481,1997,2005
50,434,1997,2005
50,404,1997,2005
20,255,1990,2005
20,220,1950,1950
20,220,1955,1955
20,220,1960,1960
20,220,1965,2005
20,210,1950,1950
20,210,1955,1955
20,210,1960,1960
20,210,1965,2005
20,260,1955,1955
20,260,1960,1960
20,260,1965,1989
20,212,1965,2005
20,211,1950,1950
20,211,1955,1955
20,211,1960,1960
20,211,1965,2005
20,225,1950,1950
20,225,1955,1955
20,225,1960,1960
20,225,1965,2005
570,771,1974,2005
570,760,1999,2005
570,775,1977,2005
570,630,1974,2005
570,750,1974,2005
570,770,1974,2005
570,780,1974,2005
570,790,1974,2005
25,92,2004,2005
25,325,2001,2005
25,501,2001,2005
25,380,2001,2005
25,130,2001,2005
25,390,2001,2005
25,698,2003,2005
25,150,2001,2005
25,93,2001,2005
25,800,2001,2005
25,135,2001,2005
25,100,2001,2005
25,651,2001,2005
25,713,2004,2005
25,640,2003,2005
25,42,2001,2005
25,101,2001,2005
25,91,2001,2005
25,210,2001,2005
25,663,2002,2005
25,850,2004,2005
25,385,2001,2005
25,616,2001,2005
25,200,2001,2005
25,375,2001,2005
25,750,2001,2005
25,770,2001,2005
25,590,2003,2005
25,20,2001,2005
25,395,2001,2005
25,840,2001,2005
25,95,2001,2005
25,165,2001,2005
25,90,2001,2005
25,145,2001,2005
25,205,2001,2005
25,225,2004,2005
420,692,1971,2005
420,660,1968,2005
420,625,1968,2005
420,698,1975,2005
420,645,1993,2005
420,651,1968,1979
420,651,1988,2005
420,435,1974,2005
420,678,1968,1990
420,680,1968,1990
420,670,1968,2005
420,663,1968,2005
420,615,1968,2005
420,679,1990,2005
420,616,1968,2005
420,652,1968,2005
420,696,1971,2005
420,620,1968,2005
420,694,1971,2005
420,690,1968,2005
420,600,1968,2005
420,520,1974,1993
80,500,1997,2005
80,501,1997,2005
80,553,1997,2005
80,436,1997,2005
80,625,1997,2005
