StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
371,372,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
371,373,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
371,630,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
371,640,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
372,373,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
372,640,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
373,630,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
373,640,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with dissolution of RUS
373,701,1991-12-01,2016-12-01,1991,12,2016,12,4,Across Caspian Sea; begins with dissolution of RUS
373,705,1991-12-01,2016-12-01,1991,12,2016,12,4,Across Caspian Sea; begins with dissolution of RUS
375,380,1917-12-01,2016-12-01,1917,12,2016,12,1,Begins with FIN system entry
375,385,1917-12-01,1940-04-01,1917,12,1940,04,1,Begins with FIN system entry; ends with GMY occup of NOR
375,385,1945-05-01,2016-12-01,1945,05,2016,12,1,Resumes after GMY occupation of NOR ends
380,385,1905-06-01,1940-04-01,1905,06,1940,04,1,Begins with NOR secession from SWD; ends with GMY occup of NOR
380,385,1945-05-01,2016-12-01,1945,05,2016,12,1,Resumes after GMY occupation of NOR ends
380,390,1816-01-01,1940-04-01,1816,01,1940,04,2,Across Oresund; ends with GMY occup of DEN
380,390,1945-05-01,2000-06-01,1945,05,2000,06,2,Across Oresund; resumes when GMY occup of DEN ends; ends when opening of Oresund Bridge creates land border
380,390,2000-07-01,2016-12-01,2000,07,2016,12,1,Land border begins with opening of Oresund Bridge
385,390,1905-06-01,1940-04-01,1905,06,1940,04,4,Across Skagerrak; begins with NOR system entry; ends with GMY occup of NOR/DEN
385,390,1945-05-01,2016-12-01,1945,05,2016,12,4,Across Skagerrak; resumes after GMY occupation of NOR/DEN ends
402,433,1975-07-01,2016-12-01,1975,07,2016,12,5,Across Atlantic Ocean; begins with CAP system entry
403,411,1975-07-01,2016-12-01,1975,07,2016,12,4,Across Gulf of Guinea; begins with STP system entry
403,471,1975-07-01,2016-12-01,1975,07,2016,12,5,Across Gulf of Guinea; begins with STP system entry
