igoID,StateID,JoinYear,LeaveYear
ABEPSEAC,200,1973,1975
ABEPSEAC,212,1968,1975
ABEPSEAC,205,1973,1975
ABEPSEAC,211,1968,1975
ACC,645,1989,1990
ACC,651,1989,1990
ACC,663,1989,1990
ACC,679,1990,1990
ACCT,355,1993,2005
ACCT,41,1970,2005
ACCT,516,1970,2005
ACCT,439,1970,2005
ACCT,436,1970,2005
ACCT,660,1973,2005
ACCT,402,1996,2005
ACCT,935,1981,2005
ACCT,438,1971,2005
ACCT,651,1983,2005
ACCT,411,1989,2005
ACCT,817,1970,1975
ACCT,435,1980,2005
ACCT,437,1970,2005
ACCT,343,1999,2005
ACCT,403,1995,2005
ACCT,591,1976,2005
ACCT,54,1979,2005
ACCT,56,1981,2005
ACCT,220,1970,2005
ACCT,811,1993,2005
ACCT,580,1989,2005
ACCT,471,1991,2005
ACCT,517,1970,2005
ACCT,483,1970,2005
ACCT,433,1970,2005
ACCT,581,1977,2005
ACCT,522,1977,2005
ACCT,490,1977,2005
ACCT,616,1970,2005
ACCT,232,2004,2005
ACCT,350,2004,2005
ACCT,590,1970,2005
ACCT,20,1970,2005
ACCT,484,1981,2005
ACCT,482,1973,2005
ACCT,461,1970,2005
ACCT,212,1970,2005
ACCT,812,1991,2005
ACCT,221,1993,2005
ACCT,432,1970,2005
ACCT,339,1999,2005
ACCT,360,1993,2005
ACCT,481,1970,2005
ACCT,600,1981,2005
ACCT,434,1970,2005
ACCT,211,1970,2005
ACCT,359,1996,2005
ACCT,404,1974,2005
ACCT,225,1996,2005
ACDT,92,1945,1945
ACDT,92,1950,1950
ACDT,92,1955,1955
ACDT,41,1945,1945
ACDT,41,1950,1950
ACDT,41,1955,1955
ACDT,70,1945,1945
ACDT,70,1950,1950
ACDT,70,1955,1955
ACDT,130,1945,1945
ACDT,130,1950,1950
ACDT,130,1955,1955
ACDT,140,1945,1945
ACDT,140,1950,1950
ACDT,140,1955,1955
ACDT,94,1945,1945
ACDT,94,1950,1950
ACDT,94,1955,1955
ACDT,150,1945,1945
ACDT,150,1950,1950
ACDT,150,1955,1955
ACDT,93,1945,1945
ACDT,93,1950,1950
ACDT,93,1955,1955
ACDT,135,1945,1945
ACDT,135,1950,1950
ACDT,135,1955,1955
ACDT,2,1945,1945
ACDT,2,1950,1950
ACDT,2,1955,1955
ACDT,100,1945,1945
ACDT,100,1950,1950
ACDT,100,1955,1955
ACDT,40,1945,1945
ACDT,40,1950,1950
ACDT,40,1955,1955
ACDT,42,1945,1945
ACDT,42,1950,1950
ACDT,42,1955,1955
ACDT,101,1945,1945
ACDT,101,1950,1950
ACDT,101,1955,1955
ACDT,91,1945,1945
ACDT,91,1950,1950
ACDT,91,1955,1955
ACDT,95,1945,1945
ACDT,95,1950,1950
ACDT,95,1955,1955
ACDT,165,1945,1945
ACDT,165,1950,1950
ACDT,165,1955,1955
ACDT,90,1945,1945
ACDT,90,1950,1950
ACDT,90,1955,1955
ACDT,145,1945,1945
ACDT,145,1950,1950
ACDT,145,1955,1955
ACDT,160,1945,1945
ACDT,160,1950,1950
ACDT,160,1955,1955
ACDT,155,1945,1945
ACDT,155,1950,1950
ACDT,155,1955,1955
ACI,439,1971,1971
ACI,436,1971,1971
ACI,437,1971,1971
ACI,580,1971,1971
ACI,471,1971,1971
ACI,483,1971,1971
ACI,433,1971,1971
ACI,490,1971,1971
ACI,590,1971,1971
ACI,484,1971,1971
ACI,461,1971,1971
ACI,481,1971,1971
ACI,434,1971,1971
ACML,692,1990,2000
ACML,660,1990,2000
ACML,625,1990,2000
ACML,698,1990,2000
ACML,645,1990,2000
ACML,651,1990,2000
ACML,435,1990,2000
ACML,670,1990,2000
ACML,663,1990,2000
ACML,522,1990,2000
ACML,615,1990,2000
ACML,679,1990,2000
ACML,616,1990,2000
ACML,652,1990,2000
ACML,696,1990,2000
ACML,620,1990,2000
ACML,694,1990,2000
ACML,690,1990,2000
ACML,600,1990,2000
ACML,520,1990,2000
ACP,58,1984,2005
ACP,41,1993,2005
ACP,531,1997,2005
ACP,500,1975,2005
ACP,516,1975,2005
ACP,439,1975,2005
ACP,501,1975,2005
ACP,55,1975,2005
ACP,553,1975,2005
ACP,436,1975,2005
ACP,625,1975,2005
ACP,402,1978,2005
ACP,935,1985,2005
ACP,551,1978,2005
ACP,438,1975,2005
ACP,411,1975,2005
ACP,986,2002,2005
ACP,983,2002,2005
ACP,540,1991,2005
ACP,40,2002,2005
ACP,435,1975,2005
ACP,987,2002,2005
ACP,570,1975,2005
ACP,437,1975,2005
ACP,475,1975,2005
ACP,451,1975,2005
ACP,403,1978,2005
ACP,42,1993,2005
ACP,591,1981,2005
ACP,54,1980,2005
ACP,580,1975,2005
ACP,471,1975,2005
ACP,517,1975,2005
ACP,483,1975,2005
ACP,433,1975,2005
ACP,946,1999,2005
ACP,522,1980,2005
ACP,510,1975,2005
ACP,940,1981,2005
ACP,490,1975,2005
ACP,541,1986,2005
ACP,565,1993,2005
ACP,910,1978,2005
ACP,860,2005,2005
ACP,950,1975,2005
ACP,530,1975,2005
ACP,955,1999,2005
ACP,420,1975,2005
ACP,31,1975,2005
ACP,53,1975,2005
ACP,80,1984,2005
ACP,590,1975,2005
ACP,484,1975,2005
ACP,482,1975,2005
ACP,461,1975,2005
ACP,60,1986,2005
ACP,571,1975,2005
ACP,990,1976,2005
ACP,52,1975,2005
ACP,432,1975,2005
ACP,452,1975,2005
ACP,51,1975,2005
ACP,481,1975,2005
ACP,572,1975,2005
ACP,110,1975,2005
ACP,434,1975,2005
ACP,947,2000,2005
ACP,520,1975,2005
ACP,450,1975,2005
ACP,552,1984,2005
ACP,404,1975,2005
ACP,970,2002,2005
ACP,57,1984,2005
ACPEU,58,1986,2005
ACPEU,115,1986,2005
ACPEU,41,1991,2005
ACPEU,531,1995,2005
ACPEU,500,1986,2005
ACPEU,516,1986,2005
ACPEU,439,1986,2005
ACPEU,325,1986,2005
ACPEU,501,1986,2005
ACPEU,255,1990,2005
ACPEU,55,1986,2005
ACPEU,380,1996,2005
ACPEU,553,1986,2005
ACPEU,436,1986,2005
ACPEU,390,1986,2005
ACPEU,625,1986,2005
ACPEU,402,1986,2005
ACPEU,935,1986,2005
ACPEU,551,1986,2005
ACPEU,438,1986,2005
ACPEU,411,1986,2005
ACPEU,305,1996,2005
ACPEU,540,1989,2005
ACPEU,435,1986,2005
ACPEU,570,1986,2005
ACPEU,437,1986,2005
ACPEU,475,1986,2005
ACPEU,451,1986,2005
ACPEU,403,1986,2005
ACPEU,42,1991,2005
ACPEU,591,1986,2005
ACPEU,54,1986,2005
ACPEU,56,1986,2005
ACPEU,220,1986,2005
ACPEU,580,1986,2005
ACPEU,210,1986,2005
ACPEU,471,1986,2005
ACPEU,517,1986,2005
ACPEU,235,1989,2005
ACPEU,483,1986,2005
ACPEU,433,1986,2005
ACPEU,946,1999,2005
ACPEU,581,1986,2005
ACPEU,522,1986,2005
ACPEU,510,1986,2005
ACPEU,940,1986,2005
ACPEU,490,1986,2005
ACPEU,541,1989,2005
ACPEU,565,1992,2005
ACPEU,910,1986,2005
ACPEU,260,1990,1990
ACPEU,950,1986,2005
ACPEU,530,1986,2005
ACPEU,200,1986,2005
ACPEU,955,1999,2005
ACPEU,420,1986,2005
ACPEU,375,1996,2005
ACPEU,31,1986,2005
ACPEU,53,1986,2005
ACPEU,80,1986,2005
ACPEU,350,1986,2005
ACPEU,590,1986,2005
ACPEU,230,1989,2005
ACPEU,484,1986,2005
ACPEU,482,1986,2005
ACPEU,461,1986,2005
ACPEU,212,1986,2005
ACPEU,60,1986,2005
ACPEU,571,1986,2005
ACPEU,990,1986,2005
ACPEU,52,1986,2005
ACPEU,432,1986,2005
ACPEU,452,1986,2005
ACPEU,51,1986,2005
ACPEU,481,1986,2005
ACPEU,572,1986,2005
ACPEU,110,1986,2005
ACPEU,434,1986,2005
ACPEU,560,2000,2005
ACPEU,947,2000,2005
ACPEU,520,1986,2005
ACPEU,450,1986,2005
ACPEU,205,1986,2005
